qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
2601,257,57,1,7,8,1:18.122,NoData,NoData
2602,257,50,22,6,9,1:18.183,NoData,NoData
2603,257,79,25,3,10,1:18.194,NoData,NoData
2604,257,104,29,9,11,1:18.204,NoData,NoData
2605,257,87,25,4,12,1:18.246,NoData,NoData
2606,257,100,33,20,13,1:18.321,NoData,NoData
2607,257,22,17,14,14,1:18.414,NoData,NoData
2608,257,94,18,23,15,1:18.659,NoData,NoData
2609,257,56,17,15,16,1:18.751,NoData,NoData
2610,257,77,6,28,17,1:18.855,NoData,NoData
2611,257,84,1,8,18,1:18.864,NoData,NoData
2612,257,44,27,26,19,1:19.304,NoData,NoData
2613,257,103,27,25,20,1:19.398,NoData,NoData
2614,257,65,32,12,21,1:19.483,NoData,NoData
2615,257,105,18,24,22,1:19.517,NoData,NoData
2616,257,106,33,19,23,1:19.524,NoData,NoData
2617,257,83,32,11,24,1:19.975,NoData,NoData
2618,257,92,30,34,25,1:20.729,NoData,NoData
2619,257,101,31,31,26,1:21.186,NoData,NoData
2620,258,102,3,2,1,1:10.218,NoData,NoData
2621,258,30,22,5,2,1:10.440,NoData,NoData
2622,258,71,3,0,3,1:10.771,NoData,NoData
2623,258,57,1,7,4,1:11.683,NoData,NoData
2624,258,77,6,28,5,1:11.744,NoData,NoData
2625,258,84,1,8,6,1:12.351,NoData,NoData
2626,258,78,6,27,7,1:12.372,NoData,NoData
2627,258,22,17,14,8,1:12.409,NoData,NoData
2628,258,104,29,9,9,1:12.444,NoData,NoData
2629,258,50,22,6,10,1:12.554,NoData,NoData
2630,258,49,15,30,11,1:12.686,NoData,NoData
2631,258,87,25,4,12,1:12.751,NoData,NoData
2632,258,81,29,10,13,1:12.866,NoData,NoData
2633,258,79,25,3,14,1:13.013,NoData,NoData
2634,258,105,18,24,15,1:13.016,NoData,NoData
2635,258,100,33,20,16,1:13.111,NoData,NoData
2636,258,94,18,23,17,1:13.529,NoData,NoData
2637,258,103,27,25,18,1:13.613,NoData,NoData
2638,258,91,15,29,19,1:13.855,NoData,NoData
2639,258,88,17,15,20,1:13.932,NoData,NoData
2640,258,106,33,19,21,1:14.101,NoData,NoData
2641,258,44,27,26,22,1:14.106,NoData,NoData
2642,258,65,32,12,23,1:14.424,NoData,NoData
2643,258,83,32,11,24,1:14.657,NoData,NoData
2644,258,101,31,31,25,1:14.748,NoData,NoData
